run,total_step_visits,mean_completion_rate,biggest_drop
1,143092,0.9385613314144691,0.15756302521008403
2,64809,0.9338104040868778,0.9534206695778749
3,46614,0.9285787341781467,0.8987603305785123
4,54524,0.9300287036594673,0.7003367003367003
5,54257,0.91371689039763615,0.9601910828025477
6,31472,0.9002498089079445,0.904109589041096
7,28304,0.9101302716822458,0.8321917808219178
